zone,scenario,label,color,linestyle,linewidth,order,marker,path
all,capex_pier_prm_108_cc_90_hardovergen_2040_1,W1,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_2,W2,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_3,W3,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_4,W4,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_5,W5,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_6,W6,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_7,W7,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_8,W8,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_9,W9,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_10,W10,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_11,W11,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_12,W12,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_13,W13,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_14,W14,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_15,W15,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_16,W16,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_17,W17,,,,,,/home/abhis/india_power/scenarios
all,capex_pier_prm_108_cc_90_hardovergen_2040_18,W18,,,,,,/home/abhis/india_power/scenarios
