period,new_capacity_mw/yr,technology,scenario
2021.0,21235.231339046346,solar,No Carbon Target
2022.0,21235.231339046346,solar,No Carbon Target
2023.0,21235.231339046346,solar,No Carbon Target
2024.0,21235.231339046346,solar,No Carbon Target
2025.0,21235.231339046346,solar,No Carbon Target
2026.0,21235.231339046346,solar,No Carbon Target
2027.0,21235.231339046346,solar,No Carbon Target
2028.0,21235.231339046346,solar,No Carbon Target
2029.0,21235.231339046346,solar,No Carbon Target
2030.0,21235.231339046346,solar,No Carbon Target
2031.0,74806.94663921939,solar,No Carbon Target
2032.0,74806.94663921939,solar,No Carbon Target
2033.0,74806.94663921939,solar,No Carbon Target
2034.0,74806.94663921939,solar,No Carbon Target
2035.0,74806.94663921939,solar,No Carbon Target
2036.0,74806.94663921939,solar,No Carbon Target
2037.0,74806.94663921939,solar,No Carbon Target
2038.0,74806.94663921939,solar,No Carbon Target
2039.0,74806.94663921939,solar,No Carbon Target
2040.0,74806.94663921939,solar,No Carbon Target
2041.0,57802.984184367015,solar,No Carbon Target
2042.0,57802.984184367015,solar,No Carbon Target
2043.0,57802.984184367015,solar,No Carbon Target
2044.0,57802.984184367015,solar,No Carbon Target
2045.0,57802.984184367015,solar,No Carbon Target
2046.0,57802.984184367015,solar,No Carbon Target
2047.0,57802.984184367015,solar,No Carbon Target
2048.0,57802.984184367015,solar,No Carbon Target
2049.0,57802.984184367015,solar,No Carbon Target
2050.0,57802.984184367015,solar,No Carbon Target
2021.0,13671.82296097167,wind,No Carbon Target
2022.0,13671.82296097167,wind,No Carbon Target
2023.0,13671.82296097167,wind,No Carbon Target
2024.0,13671.82296097167,wind,No Carbon Target
2025.0,13671.82296097167,wind,No Carbon Target
2026.0,13671.82296097167,wind,No Carbon Target
2027.0,13671.82296097167,wind,No Carbon Target
2028.0,13671.82296097167,wind,No Carbon Target
2029.0,13671.82296097167,wind,No Carbon Target
2030.0,13671.82296097167,wind,No Carbon Target
2031.0,25938.73228252527,wind,No Carbon Target
2032.0,25938.73228252527,wind,No Carbon Target
2033.0,25938.73228252527,wind,No Carbon Target
2034.0,25938.73228252527,wind,No Carbon Target
2035.0,25938.73228252527,wind,No Carbon Target
2036.0,25938.73228252527,wind,No Carbon Target
2037.0,25938.73228252527,wind,No Carbon Target
2038.0,25938.73228252527,wind,No Carbon Target
2039.0,25938.73228252527,wind,No Carbon Target
2040.0,25938.73228252527,wind,No Carbon Target
2041.0,21246.75604346409,wind,No Carbon Target
2042.0,21246.75604346409,wind,No Carbon Target
2043.0,21246.75604346409,wind,No Carbon Target
2044.0,21246.75604346409,wind,No Carbon Target
2045.0,21246.75604346409,wind,No Carbon Target
2046.0,21246.75604346409,wind,No Carbon Target
2047.0,21246.75604346409,wind,No Carbon Target
2048.0,21246.75604346409,wind,No Carbon Target
2049.0,21246.75604346409,wind,No Carbon Target
2050.0,21246.75604346409,wind,No Carbon Target
2021.0,21240.28541439764,solar,90% Carbon Target - REF
2022.0,21240.28541439764,solar,90% Carbon Target - REF
2023.0,21240.28541439764,solar,90% Carbon Target - REF
2024.0,21240.28541439764,solar,90% Carbon Target - REF
2025.0,21240.28541439764,solar,90% Carbon Target - REF
2026.0,21240.28541439764,solar,90% Carbon Target - REF
2027.0,21240.28541439764,solar,90% Carbon Target - REF
2028.0,21240.28541439764,solar,90% Carbon Target - REF
2029.0,21240.28541439764,solar,90% Carbon Target - REF
2030.0,21240.28541439764,solar,90% Carbon Target - REF
2031.0,74879.94265901542,solar,90% Carbon Target - REF
2032.0,74879.94265901542,solar,90% Carbon Target - REF
2033.0,74879.94265901542,solar,90% Carbon Target - REF
2034.0,74879.94265901542,solar,90% Carbon Target - REF
2035.0,74879.94265901542,solar,90% Carbon Target - REF
2036.0,74879.94265901542,solar,90% Carbon Target - REF
2037.0,74879.94265901542,solar,90% Carbon Target - REF
2038.0,74879.94265901542,solar,90% Carbon Target - REF
2039.0,74879.94265901542,solar,90% Carbon Target - REF
2040.0,74879.94265901542,solar,90% Carbon Target - REF
2041.0,114376.28535791444,solar,90% Carbon Target - REF
2042.0,114376.28535791444,solar,90% Carbon Target - REF
2043.0,114376.28535791444,solar,90% Carbon Target - REF
2044.0,114376.28535791444,solar,90% Carbon Target - REF
2045.0,114376.28535791444,solar,90% Carbon Target - REF
2046.0,114376.28535791444,solar,90% Carbon Target - REF
2047.0,114376.28535791444,solar,90% Carbon Target - REF
2048.0,114376.28535791444,solar,90% Carbon Target - REF
2049.0,114376.28535791444,solar,90% Carbon Target - REF
2050.0,114376.28535791444,solar,90% Carbon Target - REF
2021.0,13666.768885620366,wind,90% Carbon Target - REF
2022.0,13666.768885620366,wind,90% Carbon Target - REF
2023.0,13666.768885620366,wind,90% Carbon Target - REF
2024.0,13666.768885620366,wind,90% Carbon Target - REF
2025.0,13666.768885620366,wind,90% Carbon Target - REF
2026.0,13666.768885620366,wind,90% Carbon Target - REF
2027.0,13666.768885620366,wind,90% Carbon Target - REF
2028.0,13666.768885620366,wind,90% Carbon Target - REF
2029.0,13666.768885620366,wind,90% Carbon Target - REF
2030.0,13666.768885620366,wind,90% Carbon Target - REF
2031.0,25915.655207875006,wind,90% Carbon Target - REF
2032.0,25915.655207875006,wind,90% Carbon Target - REF
2033.0,25915.655207875006,wind,90% Carbon Target - REF
2034.0,25915.655207875006,wind,90% Carbon Target - REF
2035.0,25915.655207875006,wind,90% Carbon Target - REF
2036.0,25915.655207875006,wind,90% Carbon Target - REF
2037.0,25915.655207875006,wind,90% Carbon Target - REF
2038.0,25915.655207875006,wind,90% Carbon Target - REF
2039.0,25915.655207875006,wind,90% Carbon Target - REF
2040.0,25915.655207875006,wind,90% Carbon Target - REF
2041.0,31615.420821934444,wind,90% Carbon Target - REF
2042.0,31615.420821934444,wind,90% Carbon Target - REF
